Date,Country,Cumulative number of case(s),Number of deaths
4/26/03,Mongolia,2,0
4/30/03,Mongolia,1,0
5/2/03,Mongolia,2,0
5/7/03,Mongolia,1,0
5/2/03,New Zealand,1,0
4/14/03,Philippines,1,0
4/21/03,Philippines,1,1
4/26/03,Philippines,2,1
5/2/03,Philippines,-1,0
5/7/03,Philippines,7,0
5/15/03,Philippines,2,0
6/12/03,Philippines,2,0
5/1/03,Poland,1,0
3/21/03,Republic of Ireland,1,0
3/26/03,Republic of Ireland,1,0
4/3/03,Republic of Ireland,-1,0
4/21/03,United States,-181,0
3/24/03,Switzerland,-5,0
6/3/03,"Taiwan, China",-5,0
6/24/03,"Taiwan, China",-5,0
6/26/03,"Taiwan, China",-4,0
6/23/03,"Taiwan, China",-3,0
6/30/03,"Taiwan, China",-3,0
7/8/03,"Taiwan, China",-3,0
4/3/03,Romania,-2,0
4/8/03,"Taiwan, China",-2,0
7/2/03,"Taiwan, China",-2,0
7/3/03,"Taiwan, China",-2,0
3/26/03,Thailand,-2,0
5/13/03,United Kingdom,-2,0
4/24/03,United States,-2,0
5/3/03,United States,-2,0
5/8/03,United States,-2,0
4/2/03,Switzerland,-1,0
4/5/03,Switzerland,-1,0
6/4/03,"Taiwan, China",-1,0
6/5/03,"Taiwan, China",-1,0
6/6/03,"Taiwan, China",-1,0
6/17/03,"Taiwan, China",-1,0
6/25/03,"Taiwan, China",-1,0
6/27/03,"Taiwan, China",-1,0
4/18/03,Thailand,-1,0
4/26/03,Thailand,-1,0
4/22/03,United States,-1,0
5/21/03,United States,-1,0
5/22/03,United States,-1,0
6/6/03,United States,-1,0
6/12/03,United States,-1,0
6/20/03,United States,-1,0
6/26/03,United States,-1,0
6/30/03,United States,-1,0
4/29/03,Republic of Korea,1,0
5/12/03,Republic of Korea,1,0
5/14/03,Republic of Korea,1,0
5/31/03,Russian Federation,1,0
4/21/03,Singapore,1,0
5/10/03,Singapore,1,0
5/19/03,Singapore,1,0
3/18/03,Slovenia,1,0
4/11/03,South Africa,1,0
3/19/03,Spain,1,0
4/14/03,Sweden,1,0
3/29/03,Switzerland,1,0
3/20/03,"Taiwan, China",1,0
4/3/03,"Taiwan, China",1,0
4/4/03,"Taiwan, China",1,0
6/11/03,"Taiwan, China",1,0
6/12/03,"Taiwan, China",1,0
3/17/03,Thailand,1,0
3/24/03,Thailand,1,0
4/1/03,Thailand,1,0
4/12/03,Thailand,1,0
4/24/03,Thailand,1,0
5/14/03,Thailand,1,0
6/9/03,Thailand,1,0
3/18/03,United Kingdom,1,0
3/20/03,United Kingdom,1,0
3/24/03,United Kingdom,1,0
4/5/03,United Kingdom,1,0
4/7/03,United Kingdom,1,0
4/12/03,United Kingdom,1,0
3/26/03,United States,1,0
4/9/03,United States,1,0
4/23/03,United States,1,0
5/10/03,United States,1,0
5/16/03,United States,1,0
5/17/03,United States,1,0
5/19/03,United States,1,0
5/28/03,United States,1,0
6/4/03,United States,1,0
6/10/03,United States,1,0
6/13/03,United States,1,0
6/16/03,United States,1,0
6/17/03,United States,1,0
6/24/03,United States,1,0
7/8/03,United States,1,0
7/9/03,United States,1,0
3/22/03,Viet Nam,1,0
4/3/03,Viet Nam,1,0
3/31/03,Singapore,2,0
5/2/03,Singapore,2,0
4/18/03,Sweden,2,0
3/17/03,Switzerland,2,0
3/21/03,"Taiwan, China",2,0
4/5/03,"Taiwan, China",2,0
4/11/03,"Taiwan, China",2,0
